x,y,z
-150,76,-2.8461
-150,75,-2.8461
-150,74,-2.8165
-150,73,-2.7853
-150,72,-2.754
-150,71,-2.7228
-150,70,-2.6916
-150,69,-2.6603
-150,68,-2.6291
-150,67,-2.5979
-150,66,-2.5667
-150,65,-2.5354
-150,64,-2.5042
-150,63,-2.473
-150,62,-2.4417
-150,61,-2.4105
-150,60,-2.3793
-150,59,-2.3481
-150,58,-2.3168
-150,57,-2.2856
-150,56,-2.2544
-150,55,-2.2231
-150,54,-2.1919
-150,53,-2.1607
-150,52,-2.1295
-150,51,-2.0982
-150,50,-2.067
-150,49,-2.0358
-150,48,-2.0045
-150,47,-2.0001
-150,46,-2.0001
-150,45,-2.0001
-150,44,-2.0001
-150,43,-0.36027
-150,42,1.6397
-150,41,2.9999
-150,40,2.9999
-150,39,2.9999
-150,38,2.9999
-150,37,2.9999
-150,36,2.9999
-150,35,2.9999
-150,34,2.9999
-150,33,2.9999
-150,32,2.9999
-150,31,2.9999
-150,30,2.9999
-150,29,2.9999
-150,28,2.9999
-150,27,2.9999
-150,26,2.9999
-150,25,2.9999
-150,24,2.9999
-150,23,2.9999
-150,22,2.9999
-150,21,2.9999
-150,20,2.9999
-150,19,2.9999
-150,18,2.9999
-150,17,2.9999
-150,16,2.9999
-150,15,2.9999
-150,14,2.9999
-150,13,2.9999
-150,12,2.9999
-150,11,2.3467
-150,10,1.0005
-150,9,-0.34566
-150,8,-1.6918
-150,7,-2.0001
-150,6,-2.0001
-150,5,-2.0001
-150,4,-2.0001
-150,3,-2.0001
-150,2,-2.0001
-150,1,-2.0001
-150,0,-2.0001
-149,200,-28.712
-149,199,-28.409
-149,198,-28.075
-149,197,-27.722
-149,196,-27.369
-149,195,-27.016
-149,194,-26.663
-149,193,-26.31
-149,192,-25.964
-149,191,-25.625
-149,190,-25.255
-149,189,-24.854
-149,188,-24.463
-149,187,-24.073
-149,186,-23.682
-149,185,-23.292
-149,184,-22.901
-149,183,-22.51
-149,182,-22.12
-149,181,-21.729
-149,180,-21.338
-149,179,-20.948
-149,178,-20.553
-149,177,-20.083
-149,176,-19.478
-149,175,-18.844
-149,174,-18.209
-149,173,-17.575
-149,172,-16.94
-149,171,-16.293
-149,170,-15.633
-149,169,-15
-149,168,-15
-149,167,-13.975
-149,166,-12.738
-149,165,-11.5
-149,164,-10.154
-149,163,-9.0831
-149,162,-8.0522
-149,161,-7.0213
-149,160,-6.1961
-149,159,-5.3929
-149,158,-4.9105
-149,157,-4.735
-149,156,-4.5596
-149,155,-4.3947
-149,154,-4.2384
-149,153,-4.0822
-149,152,-4.0001
-149,151,-4.0001
-149,150,-4.0001
-149,149,-4.0001
-149,148,-4.0001
-149,147,-4.0001
-149,146,-4.0001
-149,145,-4.0001
-149,144,-4.0001
-149,143,-4.0001
-149,142,-4.0001
-149,141,-3.9983
-149,140,-3.942
-149,139,-3.8857
-149,138,-3.8295
-149,137,-3.7732
-149,136,-3.7403
-149,135,-3.7403
-149,134,-3.7403
-149,133,-3.7403
-149,132,-3.7403
-149,131,-3.6457
-149,130,-3.5189
-149,129,-3.4224
-149,128,-3.326
-149,127,-3.2295
-149,126,-3.133
-149,125,-3.0365
-149,124,-2.9935
-149,123,-2.9889
-149,122,-2.9889
-149,121,-2.9889
-149,120,-2.9889
-149,119,-2.9889
-149,118,-2.9889
-149,117,-2.9889
-149,116,-2.9889
-149,115,-2.9889
-149,114,-2.9889
-149,113,-2.9889
-149,112,-2.9889
-149,111,-2.9889
-149,110,-2.9889
-149,109,-2.9889
-149,108,-2.9889
-149,107,-2.9889
-149,106,-2.9889
-149,105,-2.9889
-149,104,-2.9889
-149,103,-2.9889
-149,102,-2.9889
-149,101,-2.9889
-149,100,-2.9889
